file,equation_tex,categories
VAM_2_Swirl_Clocks/Swirl_Clocks/appendix_07_Foundations_Velocity_Fields_and_Energies.tex,"V \;=\; \frac{\Gamma}{4 \pi R} \bigl(\ln \tfrac{8 R}{a} - \beta \bigr),\label{eq:appendix:velocity}",Circulation Γ
VAM_2_Swirl_Clocks/Swirl_Clocks/appendix_07_Foundations_Velocity_Fields_and_Energies.tex,"H \;=\; \int_V \mathbf{u} \cdot \boldsymbol{\omega}\, dV,\label{eq:appendix:helicity}",Helicity / v·ω; Lagrangian
VAM_2_Swirl_Clocks/Swirl_Clocks/appendix_07_Foundations_Velocity_Fields_and_Energies.tex,\Gamma,Circulation Γ
VAM_2_Swirl_Clocks/Swirl_Clocks/appendix_08_Integration_of_Clausius_Heat_Theory.tex,"F^{\text{max}}_{\text{\ae}} = \rho_\text{\ae} C_e^2 \pi r_c^2,\label{eq:critical_force}",G_swirl
VAM_2_Swirl_Clocks/Swirl_Clocks/appendix_09_TopologicalCharge.tex,"H_\text{vortex} = \frac{1}{(4\pi)^2} \int_{\mathbb{R}^3} \vec{v} \cdot \vec{\omega} \, d^3x. \label{eq:helicity}",Helicity / v·ω; Lagrangian
VAM_2_Swirl_Clocks/Swirl_Clocks/appendix_09_TopologicalCharge.tex,"Q_\text{top} = \frac{L}{(4\pi)^2 \Gamma^2} \int \vec{v} \cdot \vec{\omega} \, d^3x, \label{eq:qtop}",Helicity / v·ω; Circulation Γ
VAM_2_Swirl_Clocks/Swirl_Clocks/appendix_09_TopologicalCharge.tex,"\mathcal{L}_\text{top} = \frac{C_e^2}{2} \rho_\text{\ae} \, \vec{v} \cdot \vec{\omega},",Lagrangian
VAM_2_Swirl_Clocks/Swirl_Clocks/appendix_09_TopologicalCharge.tex,"\mathcal{E}_\text{VAM} = \int \left[ \frac{1}{2} \rho_\text{\ae} |\vec{v}|^2 + \frac{C_e^2}{2} \rho_\text{\ae} \, \vec{v} \cdot \vec{\omega} + \Phi_\text{swirl} + P(\rho_\text{\ae}) \right] d^3x.",Helicity / v·ω
VAM_2_Swirl_Clocks/Swirl_Clocks/appendix_09_TopologicalCharge.tex,"dt = dt_\infty \sqrt{1 - \frac{U_\text{vortex}}{U_\text{max}}}, \quad \text{met} \quad U_\text{vortex} = \frac{1}{2} \rho_\text{\ae} |\vec{\omega}|^2.",Time-rate / dilation
VAM_2_Swirl_Clocks/Swirl_Clocks/appendix_09_TopologicalCharge.tex,\Gamma,Circulation Γ
VAM_2_Swirl_Clocks/Swirl_Clocks/appendix_10_SplitHelicity.tex,dt = dt_\infty \sqrt{1 - \frac{H_C + H_T}{H_\text{max}}} = dt_\infty \sqrt{1 - \frac{C^2 (\text{Wr} + \text{Tw})}{H_\text{max}}}.,Time-rate / dilation
VAM_2_Swirl_Clocks/Swirl_Clocks/appendix_11_VAM_Lagrangian.tex,"\mathcal{L}_\text{VAM}[\psi] = \frac{i\hbar}{2} \left( \psi^\dagger \partial_t \psi - \psi \partial_t \psi^\dagger \right) - \frac{\hbar^2}{2m} |\nabla \psi|^2 - \frac{\alpha}{8} |\nabla \vec{s}|^2,",Lagrangian
VAM_2_Swirl_Clocks/Swirl_Clocks/appendix_12_DerivationFineStructureConstant.tex,\Gamma = \oint \vec{v} \cdot d\vec{\ell} = \frac{h}{m_e} = \frac{2\pi \hbar}{m_e}.,Circulation Γ
VAM_2_Swirl_Clocks/Swirl_Clocks/appendix_12_DerivationFineStructureConstant.tex,\Gamma = 2\pi r_c C_e.,Circulation Γ
VAM_2_Swirl_Clocks/Swirl_Clocks/appendix_12_DerivationFineStructureConstant.tex,R_e = \frac{e^2}{4\pi \varepsilon_0 m_e c^2}.,Energy/Mass
VAM_2_Swirl_Clocks/Swirl_Clocks/appendix_12_DerivationFineStructureConstant.tex,C_e = \frac{2\hbar}{m_e} \cdot \frac{4\pi \varepsilon_0 m_e c^2}{e^2} = \frac{8\pi \varepsilon_0 \hbar c^2}{e^2}.,Energy/Mass
