file,relative_path,ext,knot_id,closure_error,length_series_units,length_m,writhe,crossing_est,sigma,Hvortex_X(b0=3),mass_fluid_kg,mass_energy_kg
knot.7_4.fseries,7_4\knot.7_4.fseries,.fseries,7_4,0.029335612020704126,14.547475804677891,14.547475804677891,-0.22291768937883455,61,-1.0,-58.0,-8.306438216239726e-36,-6.9407939252022016e-06
knot.7_5.fseries,7_5\knot.7_5.fseries,.fseries,7_5,0.02109115680244272,16.392370948215344,16.392370948215344,11.189235287671254,71,1.0,68.0,1.0973619263327574e-35,9.169469264392555e-06
knot.7_5d.fseries,7_5\knot.7_5d.fseries,.fseries,7_5d,0.09175746409662494,41.98204030244804,41.98204030244804,0.42154460327983134,52,1.0,49.0,2.025157586485632e-35,1.6922056250747368e-05
knot.7_6d.fseries,7_6\knot.7_6d.fseries,.fseries,7_6d,0.019072897493000743,16.588724636568664,16.588724636568664,2.0791647416941705,61,1.0,58.0,9.471967379767875e-36,7.91470085465437e-06
knot.7_6s.fseries,7_6\knot.7_6s.fseries,.fseries,7_6s,0.01305757490586275,11.923183893889757,11.923183893889757,3.923786100897525,78,1.0,75.0,8.803446060512649e-36,7.356089739906879e-06
knot.7_7d.fseries,7_7\knot.7_7d.fseries,.fseries,7_7d,0.04617853369425411,21.94968285634407,21.94968285634407,-4.41210381034919,197,-1.0,-194.0,-4.192076328317047e-35,-3.502865747761938e-05
knot.8_10s.fseries,8_10\knot.8_10s.fseries,.fseries,8_10s,0.018029713060352153,10.252263001980644,10.252263001980644,-11.505504072791096,38,-1.0,-35.0,-3.532539160543366e-36,-2.951761718771649e-06
knot.8_11.fseries,8_11\knot.8_11.fseries,.fseries,8_11,0.017302018898084078,12.004697970564933,12.004697970564933,-9.793695284748178,80,-1.0,-77.0,-9.099995240398296e-36,-7.60388388376145e-06
knot.8_11d.fseries,8_11\knot.8_11d.fseries,.fseries,8_11d,0.022008823394655274,12.32596542163375,12.32596542163375,0.3635507869166829,94,1.0,91.0,1.1042350785483469e-35,9.226900779445164e-06
knot.8_12d.fseries,8_12\knot.8_12d.fseries,.fseries,8_12d,0.012292627812884616,11.850232537320302,11.850232537320302,-0.34568242957438156,61,-1.0,-58.0,-6.766343917043849e-36,-5.6539033377060425e-06
knot.8_12z.fseries,8_12\knot.8_12z.fseries,.fseries,8_12z,0.04878630212730903,23.092486684489558,23.092486684489558,-0.28975766022622385,11,-1.0,-8.0,-1.8186950755365863e-36,-1.5196871876323832e-06
knot.8_13d.fseries,8_13\knot.8_13d.fseries,.fseries,8_13d,0.021685351111979313,15.12830878702819,15.12830878702819,-0.8488532158159214,129,-1.0,-126.0,-1.8765499438077431e-35,-1.5680302569222673e-05
knot.8_13p.fseries,8_13\knot.8_13p.fseries,.fseries,8_13p,0.020678567722060264,12.628687129593022,12.628687129593022,0.33365921684297134,93,1.0,90.0,1.1189222638839265e-35,9.349625735800353e-06
knot.8_14d.fseries,8_14\knot.8_14d.fseries,.fseries,8_14d,0.058359641589833006,26.47075454981953,26.47075454981953,14.006154620813946,298,1.0,295.0,7.687542664287777e-35,6.42364970821104e-05
knot.8_14r.fseries,8_14\knot.8_14r.fseries,.fseries,8_14r,0.019165730852978898,12.54222131875725,12.54222131875725,-5.010262983711502,60,-1.0,-57.0,-7.037987930020033e-36,-5.880886921523773e-06
