file,relative_path,ext,knot_id,closure_error,length_series_units,length_m,writhe,crossing_est,sigma,Hvortex_X(b0=3),mass_fluid_kg,mass_energy_kg
knot.8_21r.fseries,8_21\knot.8_21r.fseries,.fseries,8_21r,0.010585802431321612,13.274001039272838,13.274001039272838,-7.184119481098614,62,-1.0,-59.0,-7.709976617640915e-36,-6.4423953417904624e-06
knot.8_2.fseries,8_2\knot.8_2.fseries,.fseries,8_2,0.005916124651442733,12.382753981227136,12.382753981227136,-19.292060919657704,58,-1.0,-55.0,-6.704696692702216e-36,-5.602391405747115e-06
knot.8_2d.fseries,8_2\knot.8_2d.fseries,.fseries,8_2d,0.017386266239604153,25.391293639157787,25.391293639157787,16.896005235745378,152,1.0,149.0,3.724519894047635e-35,3.112179297783693e-05
knot.8_3.fseries,8_3\knot.8_3.fseries,.fseries,8_3,0.009644775448711524,8.75701491704957,8.75701491704957,9.474874755435438,39,1.0,36.0,3.103543180791807e-36,2.593296078905165e-06
knot.8_3d.fseries,8_3\knot.8_3d.fseries,.fseries,8_3d,0.02935523720238866,35.17981791045443,35.17981791045443,-76.765921846747,544,-1.0,-541.0,-1.8736568463916418e-34,-0.0001565612807656054
knot.8_3z.fseries,8_3\knot.8_3z.fseries,.fseries,8_3z,0.009958785054556036,21.905716640577438,21.905716640577438,0.00033367479341333514,11,0.0,0.0,0.0,0.0
knot.8_4.fseries,8_4\knot.8_4.fseries,.fseries,8_4,0.012162569908655226,16.874271648481997,16.874271648481997,-7.859248156225409,145,-1.0,-142.0,-2.358916578632406e-35,-1.9710919930784018e-05
knot.8_4d.fseries,8_4\knot.8_4d.fseries,.fseries,8_4d,0.017040714815771543,20.36530929422957,20.36530929422957,28.716205888458045,191,1.0,188.0,3.769190271425795e-35,3.149505511001851e-05
knot.8_5.fseries,8_5\knot.8_5.fseries,.fseries,8_5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
knot.8_6.fseries,8_6\knot.8_6.fseries,.fseries,8_6,0.008285218930251,11.768669363895826,11.768669363895826,4.67775373607299,44,1.0,41.0,4.7501838677933526e-36,3.969215983418094e-06
knot.8_6p.fseries,8_6\knot.8_6p.fseries,.fseries,8_6p,0.007221589191069485,11.564060060365698,11.564060060365698,4.256517174460405,61,1.0,58.0,6.602942786089753e-36,5.51736664802357e-06
knot.8_7d.fseries,8_7\knot.8_7d.fseries,.fseries,8_7d,0.011870013774582761,14.110745271924282,14.110745271924282,2.722573525856755,49,1.0,46.0,6.390090158361435e-36,5.3395086796573375e-06
knot.8_7s.fseries,8_7\knot.8_7s.fseries,.fseries,8_7s,0.008659116403614128,10.74382267721432,10.74382267721432,31.4272232350257,49,1.0,46.0,4.8653699170267345e-36,4.0654645330339875e-06
knot.8_8d.fseries,8_8\knot.8_8d.fseries,.fseries,8_8d,0.015861531580612178,19.155837004970756,19.155837004970756,10.164471306350313,105,1.0,102.0,1.923536832716038e-35,1.6072921288111407e-05
knot.8_9d.fseries,8_9\knot.8_9d.fseries,.fseries,8_9d,0.00616746693889839,11.583590894520611,11.583590894520611,-1.1380461229953034,97,-1.0,-94.0,-1.0719394799511987e-35,-8.957041317762043e-06
knot.12a_1202.short,12a_1202\knot.12a_1202.short,.short,12a_1202,0.057224813529629735,85.80850666400451,85.80850666400451,-0.3761452731401542,12,-1.0,-9.0,-7.602773554504956e-36,-6.352817312073415e-06
knot.12a_1202z6.short,12a_1202\knot.12a_1202z6.short,.short,12a_1202z6,0.04594228295803787,68.89142864995137,68.89142864995137,-0.010574652992561228,16,-1.0,-13.0,-8.816734143201422e-36,-7.367193156461945e-06
knot.15331.short,15331\knot.15331.short,.short,knot.15331,0.04622828855754382,69.32851702616603,69.32851702616603,-0.0722448825669532,14,-1.0,-11.0,-7.507646191145923e-36,-6.273329641361315e-06
knot.3_1.short,3_1\knot.3_1.short,.short,3_1,0.011399333534271123,17.090153119495646,17.090153119495646,3.3883616520638027,4,1.0,1.0,1.6824615806463549e-37,1.405851559276715e-07
knot.3_1p.short,3_1\knot.3_1p.short,.short,3_1p,0.012895046634361924,19.33915305080042,19.33915305080042,3.6037539251196065,3,1.0,0.0,0.0,0.0
knot.3_1u.short,3_1\knot.3_1u.short,.short,3_1u,0.014788980621441683,22.17217922660913,22.17217922660913,3.87416060234017,5,1.0,2.0,4.365536042555476e-37,3.647807309898594e-07
knot.4_1.short,4_1\knot.4_1.short,.short,4_1,0.01520477316326762,22.80289954086217,22.80289954086217,0.21959416476067284,4,1.0,1.0,2.244860074487806e-37,1.8757872823843624e-07
knot.4_1d.short,4_1\knot.4_1d.short,.short,4_1d,0.019466989065298018,29.195687705644332,29.195687705644332,-0.018196477262503296,4,-1.0,-1.0,-2.8742061315566098e-37,-2.401663858606048e-07
knot.4_1i8.short,4_1\knot.4_1i8.short,.short,4_1i8,0.015603148474300357,23.413096536969103,23.413096536969103,-0.001903570028217464,5,0.0,0.0,0.0,0.0
knot.4_1p.short,4_1\knot.4_1p.short,.short,4_1p,0.015528745371987493,23.287640809919818,23.287640809919818,0.11527075155966167,5,1.0,2.0,4.585162074631959e-37,3.8313250812428076e-07
knot.4_1z.short,4_1\knot.4_1z.short,.short,4_1z,0.015123111599082329,22.68088591241579,22.68088591241579,-0.0018539110058387054,5,0.0,0.0,0.0,0.0
knot.5_1.short,5_1\knot.5_1.short,.short,5_1,0.017540800839703802,26.29240074678932,26.29240074678932,6.634181226169998,6,1.0,3.0,7.765165205389807e-37,6.48851048821256e-07
knot.5_1p.short,5_1\knot.5_1p.short,.short,5_1p,0.02244733309510499,33.6617422863687,33.6617422863687,6.423487265643406,5,1.0,2.0,6.6277449638327745e-37,5.538091151129364e-07
knot.5_1u.short,5_1\knot.5_1u.short,.short,5_1u,0.036169551830627984,54.22568598978016,54.22568598978016,7.705500914951003,9,1.0,6.0,3.2029894427777075e-36,2.6763925870723284e-06
knot.5_2.short,5_2\knot.5_2.short,.short,5_2,0.018026174168336156,27.033507068248127,27.033507068248127,4.8141819758626285,5,1.0,2.0,5.322695088152775e-37,4.4476018206367374e-07
knot.5_2d.short,5_2\knot.5_2d.short,.short,5_2d,0.02320170730082441,34.794892016379364,34.794892016379364,-4.609340537418504,6,-1.0,-3.0,-1.0276280489292272e-36,-8.586778512877732e-07
knot.5_2r.short,5_2\knot.5_2r.short,.short,5_2r,0.020730189945488312,31.089685508387895,31.089685508387895,4.4957013661538605,6,1.0,3.0,9.181989369522518e-37,7.672397528059072e-07
knot.6_1.short,6_1\knot.6_1.short,.short,6_1,0.02196542006639008,32.94022279103841,32.94022279103841,1.4283908550729165,6,1.0,3.0,9.728524767978633e-37,8.12907817441551e-07
knot.6_2.short,6_2\knot.6_2.short,.short,6_2,0.020879101349381955,31.311563554680006,31.311563554680006,2.4518403693522366,6,1.0,3.0,9.247518558032158e-37,7.727153198502985e-07
knot.6_2d.short,6_2\knot.6_2d.short,.short,6_2d,0.032607787057896104,48.90273393848478,48.90273393848478,3.8581500004521634,13,1.0,10.0,4.8142910402723966e-36,4.022783428539701e-06
knot.6_2p.short,6_2\knot.6_2p.short,.short,6_2p,0.02433394796206209,36.490669166517165,36.490669166517165,3.2125685233121075,7,1.0,4.0,1.4369478961474277e-36,1.2007022707895516e-06
knot.6_3d.short,6_3\knot.6_3d.short,.short,6_3d,0.03177652570585608,47.65536903614342,47.65536903614342,0.005578689143466248,9,1.0,6.0,2.814895581832027e-36,2.35210443343342e-06
knot.6_3z.short,6_3\knot.6_3z.short,.short,6_3z,0.02425736331051087,36.3774318866456,36.3774318866456,-0.007530887311548872,9,-1.0,-6.0,-2.1487331725088864e-36,-1.7954644051252056e-06
knot.7_1.short,7_1\knot.7_1.short,.short,7_1,0.021758684675106985,32.61472553882631,32.61472553882631,8.963538327066912,8,1.0,5.0,1.6053988018341445e-36,1.341458512207122e-06
knot.7_1p.short,7_1\knot.7_1p.short,.short,7_1p,0.03165111225035781,47.464338992766905,47.464338992766905,9.40196219022722,7,1.0,4.0,1.869074577570823e-36,1.5617839001547617e-06
knot.7_2.short,7_2\knot.7_2.short,.short,7_2,0.02394247244818247,35.904665616493645,35.904665616493645,6.233367857555669,7,1.0,4.0,1.4138719540621051e-36,1.1814201965148053e-06
knot.7_2d.short,7_2\knot.7_2d.short,.short,7_2d,0.03536374240281608,53.03424742573016,53.03424742573016,4.3561467823146796,14,1.0,11.0,5.7431253799327446e-36,4.798910039537621e-06
knot.7_2r.short,7_2\knot.7_2r.short,.short,7_2r,0.025549917154608623,38.316215615935256,38.316215615935256,5.84521595762826,8,1.0,5.0,1.886043976283445e-36,1.5759633951961655e-06
knot.7_3.short,7_3\knot.7_3.short,.short,7_3,0.026645760000637644,39.957829374010146,39.957829374010146,-6.958731679061594,7,-1.0,-4.0,-1.5734794720148985e-36,-1.3147869732468e-06
knot.7_3d.short,7_3\knot.7_3d.short,.short,7_3d,0.03811331271699095,57.17335338824353,57.17335338824353,7.159216535010047,15,1.0,12.0,6.754203066984032e-36,5.643758539641185e-06
knot.7_4.short,7_4\knot.7_4.short,.short,7_4,0.027143212380716233,40.70714310853766,40.70714310853766,-6.41637526602157,7,-1.0,-4.0,-1.602986324560416e-36,-1.3394426653218174e-06
knot.7_5.short,7_5\knot.7_5.short,.short,7_5,0.027604981825550955,41.39726387111432,41.39726387111432,7.024038221902284,7,1.0,4.0,1.6301622465295895e-36,1.362150650285413e-06
knot.7_5d.short,7_5\knot.7_5d.short,.short,7_5d,0.04064579139341444,60.952262491523356,60.952262491523356,-7.888210118091821,12,-1.0,-9.0,-5.400469806243472e-36,-4.5125897585236215e-06
knot.7_6d.short,7_6\knot.7_6d.short,.short,7_6d,0.04077315842515779,61.144388568723095,61.144388568723095,3.540825030194436,8,1.0,5.0,3.009718049911325e-36,2.5148965433288496e-06
knot.7_6s.short,7_6\knot.7_6s.short,.short,7_6s,0.02814884303891552,42.20767154354104,42.20767154354104,2.7096387908618578,7,1.0,4.0,1.662074886843235e-36,1.388816599547886e-06
